"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"noralee","16 September 2005","I saw Harakiri (Seppuku) in a new 35 mm print at NYC's Film Forum. This is a brilliant use of a narrow period genre to explosively indict politics and culture. Writers Shinobu Hashimoto and Yasuhiko Takiguchi surely must have been as inspired by ""The Count of Monte Cristo,"" Ambrose Bierce and Howard Hawks' Westerns as much as by samurai literature and movies.The film begins deceptively as a story within a story, seemingly providing a traditional example of upholding samurai honor, such as in the conventional, oft-retold tale of ""The 47 Ronin."" The context is set at a time when the central government, the shogunate, is supplanting local clans and arbitrarily unemploying thousands of people, notably their samurai, forcing them into the mercenary mode of ronin at best and begging for food at worse. But the parallels to the 20th century are made repeatedly explicit as the samurai who comes to this clan seeking help is from Hiroshima.Very gradually we get further insight on the tale within a tale, as we see more flashbacks within flashbacks into what each character has been doing before these confrontations and we get uneasy inklings that the moral of the story may not be what it appears at first and the stakes get higher and higher with almost unbearable tension.It is almost halfway through the film until we see a female and we suddenly see an alternative model of masculinity, where a priority is put on family, support, education and creative productivity. In comparison to the macho opening relationships, with their emphasis on formal militaristic loyalty to a hierarchy, a loving husband and father is practically a metrosexual. Seeing the same stalwart samurai making casual goo goo sounds to his grandbaby puts the earlier, ritualized scenes in sharp relief, particularly the recurring image of the clan's armor which seems less and less imposing and is finally destroyed as an empty symbol.The psychological tension in the confrontations in the last third of the film is more excruciating than the actual violence. Even when we thought we already knew the outcome from the flashbacks, the layers of perception of relationships and personalities are agonizingly peeled away with each thrust of a sword to reveal the depths of the horrifying hypocrisy of the political and social structure. And those are just the overwhelming cultural resonances that a 21st century American can glean. Like ""Downfall (Der Untergang),"" it reveals the inhumane mentality that led to World War II.The repeating motif of long walks then confrontations down empty corridors emphasizes the stultifying bureaucratic maze that entraps the characters. The revenge motifs are accented by startlingly beautiful cinematography that recalls traditional Japanese art, including drops of blood like first snow flakes then a waterfall.The over all effect of this masterpiece is emotionally draining.","
            10/10
            "
"Galina_movie_fan","21 March 2007","I've said it once about another movie, incidentally by the other great Japanese director as well and I want to repeat my words in regard to ""Harakiri"": ""There are good, very good, and even great movies. But among them there are just a few that go beyond great. They belong to the league of their own"". Masaki Kobayashi's ""Harakiri"" aka ""Seppuku"" is one of them. The film of rare power and humanism, of highest artistic achievements, profoundly moving, tragic like the best Shakespeare's plays, universal and timeless even if it takes place in the faraway country of 1630, by the words of one of the reviewers ""Harakiri"" ""is to cinema as the Sistine Chapel is to painting. Unsurpassable!"" The film grabbed me from the very first shot, from its opening credits with their perfect harmony of kanji (I believe it is a correct word to describe the writings) characters, with the unusual disturbing score and with the dark beauty of the images. And then the story begins that centers on Hanshiro Tsugumo (Tatsuya Nakadai), one of hundreds or maybe even thousands unemployed lord less samurais, ronin, that in the blessed times of peace had not many choices to adjust to new life and often preferred to commit a ritual suicide, hara-kiri or seppuku on the property of the wealthy estate owners. According to Bushido, the way of the samurai, ""One who is a samurai must before all things keep constantly in mind, by day and by night . . . the fact that he has to die. That is his chief business."" At the same time, samurai and anti-samurai film, ""Harakiri"" offers the masterfully screened scenes of sword-fights, not plentiful but exquisitely choreographed, perfectly paced and unbearably intense but the film is much more than that. It is also a gripping court drama where the truth is unfolded in the flashbacks. The viewers are allowed to look closer at the noble Samurai code of behavior and to reflect on how its abuse impacts the fate of an individual and the society in general. Compelling, poetic, and tragic, the movie has one of the most pessimistic endings ever that makes you wonder how the history is made, how the historical events are interpreted and who decides what would be written in the chronicles and important documents and what would be left out.A Masterpiece, one of the best movies ever made, ""Harakiri"" deserves all its praise. It is not in my nature to force my opinion on anyone but if you call yourself a movie buff or a movie lover, you MUST see this film.","
            10/10
            "
"Sleepin_Dragon","28 December 2022","The story of a Samurai, who requests to commit harakiri.I have read many of the reviews with a great deal of respect, many have such an understanding of the culture, and a very deep understanding of the content of the film, for my ignorance I come here as a novice, with no understanding, so from my viewpoint, I'm watching a film I've been told I'd love. I've seen one samurai film prior to this.First off, I had to check it was actually made in 1962, it felt way more advanced than that, the concepts and production.I thoroughly engaged with it, the story was fascinating, and where I expected it to tell a general story, the focus was pretty much on one single character, Hanshiro Tsugumo.Some of the pacing me be hard for some, the long drawn out scenes, I find very purposeful. The music is engaging, the acting terrific.I wasn't surprised to learn that the swords and multitude of blades used in this movie were real, and that I think is one of the film's most successfully aspects, its authentic, a story presented in a very real fashion.It's a powerful story, 9/10.","
            9/10
            "
"frankde-jong","12 June 2020","The generation that came after the renown Japanese directors Kurosawa, Ozu and Mizoguchi is generally regarded as less talented. The main representatives of this generation are Kaneto Shindo, Kon Ichikawa en Masaki Kobayshi. Personally I would like to make an exception for Masaki Kobayashi, who is in my opinion the equal of Kurosawa, Ozu and Muzoguchi.Kobayashi is best known in the West for his ghost stories ""Kwaidan"" (1964). The rest of his repertoire, among which the samurai movie ""Harakiri"" (1962), is not to be sneezed at either.A samurai movie is usually seen as a sort of Western of the East. Main ingredients of the Western genre are action and the battle beween the law (good) and the villains (bad).In ""Harakiri"" (which literal translation is: hara = belly , kiri = cutting) in stead of the law there is the samurai code of honor (Bushido in Japanese). But this code of honor is not the good element of the film. Rather it is revealed as a force of ruthlessness and hypocrisy. In the film the Bushido is represented by the Li clan.In ""Harakiri"" there is also little action. Only towards the end there is something that can be seen as a ""shoot out"". But in this shoot out the evil is not overcome, but only revealed as shallow (the idol of the Li clan is shown to be an empty armor).Translated in Western movie genres ""Harakiri"" is therefore no Western. Maybe it can be categorised as a Court room drama. The heart of the film consists of main character Hanshiro Tsugumo (Tatsuya Nakadai) telling his sad story. This story is in essence a requisitor against the Bushido. The performance of Nakadai as a broken Tsugumo is brilliant. His requisitor is not only aimed at the Li clan, but also against his own past. Once Tsugumo also was a samurai.Kobayashi was a convinced humanist all his life. Apart from ""Harakiri"" he also made the 9,5 hours epos ""The human condition"" (1959-1961). This epos is situated in World War II. For Kobayashi kamikaze was just another form of Harakiri and thus just another utterance of the old Bushido.","
            10/10
            "
"OttoVonB","7 October 2005","Having seen this film the mind becomes clouded with the innumerable things to say about it. Only praise comes to mind. Kobayashi has crafted The great samurai film for the rebel generation and he mixes a deftly handled criticism of authoritarian hypocrisy with a very touching piece of human drama.The plot is deceptively simple: an old samurai (touchingly portrayed by Tatsuya Nakadai of ""Ran"", ""Kagemusha"" and ""Sword of Doom"") arrives at a clan castle to commit seppuku in their yard, and then tells his tale, seemingly trying to gain time at first. What seems to be the rambling of an old man soon turns out to be a grieving account of how this man (and, more significantly, his loved ones) was wronged by the clan. Then comes the violent revenge (this is where you think ""Wild Bunch with katanas"", though they do up the ante toward the end with guns...).Kobayashi's direction is masterful, keeping an unbearable suspense during the mostly talky film, handling the touching scenes with care and maturity and giving us a sweeping fight to top all that. The 133 minutes running time never feels half that long! At the heart of it all though, is Nakadai, who, despite an excellent CV, delivers his greatest performance ever. His Tsugumo evokes a wounded panther, grieving an grieving until it gives in to fury. Nakadai's performance alone marks the film as essential viewing.If you're open to samurai flicks, this will rank among the finest films you've ever seen.","
            10/10
            "
"futures-1","17 July 2005","""Harakiri"" (""Seppuku"") (Japanese, 1962): It is the 17th century. A young Samurai warrior arrives at a mansion, asking to perform his ritual death there. In a series of flashbacks, we learn who he is, why he came, and what has occurred since. Although quietly told by another ex-warrior (about whom we also learn more), this is an interesting story that builds in complexity and tension. Debates about rituals and appearances may at first seem to hold more significance in old Japan than in the contemporary United States, but it is not difficult to translate and implement such thoughts. Love, honor, duty, family, children, saving ""face"", determination, desperationthey all exist in OUR everyday lives. Dramatically photographed in beautiful black & white, given a strong Japanese score, and paced so that even the mildly patient will be glad they saw it, ""Harakiri"" is epically huge, and a must-see for story & film lovers.","
            10/10
            "
"Duree","8 November 2001","This film is the purest distillation of the spirit of Greek tragedy ever put on celluloid.  Yes, this is a review of Seppuku, a Japanese film released in 1962.  Perhaps it took a non-Westerner, free of all of the cultural baggage and ridiculous associations, to see straight into the heart of the tragic mode and make it palpable and alive in the twentieth century.  That is not all: the black and white cinematography is both formally assured and often outrageously daring; the soundtrack is one of the finest efforts of the greatest Japanese composer of the 20th century (or any century for that matter); the acting is demonically inspired; and the narrative is relentlessly gripping and involving.  The film illuminates the relationship between the individual and society and between society and history.  It is a tender meditation on familial love and the ties of friendship that transcend even death.  This film will cut open your bowels, pull your soul out, and force you to stare it in the face.  There may be other films that attain similar heights, but I cannot imagine any film, ever, being more perfect. Forget Citizen Kane, Seven Samurai, the Godfather, etc. etc. all of those commodified canonical works that everybody raves about because everybody else is raving about them.  Don't get me wrong, they're fine--but this stuff is 200 proof.  See it today.  Buy it yesterday.","
            10/10
            "
"lstrawser","13 April 2006","Harakiri is an excellent human drama set in feudal Japan that involves a ronin presenting himself to a powerful clan and asking to commit harikiri. However, through a series of flashbacks we see that this ronin is motivated by more than the idea of dying honorably. The events that follow are a critique of the feudal system and a celebration of dying for one's beliefs.Every frame in Harikiri is wonderfully composed and a treat to view. The cinematography is crisp, the sets wonderful and the actors are spectacular. Much can be said about this film's technical merits as well as its social implications. I found out about this film through my love of Akira Kurosawa's samurai dramas (who else...) and I must say that it is very different from Kurosawa-sans work although it draws inevitable comparisons. Due to its themes, Harikiri is more of an anti samurai film. Generally Kurosawa's work seems to glorify the honor of the samurai and celebrate them as Japanese heroes by showing them gloriously in battle. Kurosawa is the Japanese John Ford, taking an icon from his culture and celebrating it. Harikiri exposes the virtues that Kurosawa portrays as being ""a facade"" to directly quote the film.I say this so as not to mislead any potential viewers, I do not know enough about Japanese history to judge what the samurai really stood for and really I am not concerned with the idea. This is the only Kobyashi film I have seen and it has been brought to my attention that many of his films deal with similar themes. All in all I think that Harikiri is a wonderful film that offers a new take on feudal Japan.","
            9/10
            "
"jonsefcik","17 February 2019","Seven Samurai is pretty great, but I think Harakiri is even better. This tale of a ronin seeking revenge and exposing the flawed samurai code is so close to perfection. The story is engrossing and despite the slow pacing it's never boring. What the production lacks in scale it makes up for with emotional intensity. The sparse, ominous score is perfect for this film. The direction and cinematography are masterful and the camera's slow pans and zooms really butter my croissant. The editing is great and purposeful too. There's not a single weak performance but Tatsuya Nakadai in the leading role steals the show.My only complaints are with some of the pacing and fight choreography. There's a standoff scene in the middle that could have been cut (since it felt like a cheap way to build tension and it wouldn't make sense for them to continue waiting afterward) and the long flashback could have also been trimmed. The film is 2 hours 13 minutes but I think exactly 2 hours would have been perfect. From a fight choreography standpoint the one-on-one fight scenes were well done but climax was shaky. There were many interesting ideas and moments in there, but also several points where I was like ""okay, how did they not strike him there?""Harakiri is an outstanding film that deserves more attention. If you haven't seen this film check it out. The Criterion restoration is absolutely beautiful. I intentionally kept this review vague since it's best to go into it knowing as little as possible. With a few thousand more ratings, this film would be pretty high up on the IMDb Top 250, and I'd be delighted to see it there.","
            10/10
            "
"claudio_carvalho","3 February 2012","In 1630, after a long period of peace in Japan after the end of the clans, thousand of samurais do not have masters and are living in absolute poverty. The ronin Hanshiro Tsugumo (Tatsuya Nakadai) and former samurai of Lord of Geishu arrives at the house of Lord Lyi requesting a spot to commit hara-kiri (an honorable form of suicide through self-inflicted disembowelment followed by decapitation under the samurai code).Tsugumo is received by Umenosuke Kawabe (Yoshirô Aoki), who tells the story of the young samurai Motome Chijiiwa (Akira Ishihama) that arrived at the house also asking for a place to commit hara-kiri but expecting to receive coins instead. The warrior Hikokuro Omodaka (Tetsurô Tanba) convinces the clan to force Chijiiwa to really commit suicide using his bamboo blade as an example to other samurais that would appear using the same pretext to receive coins from the master.Tsugumo discloses that the lad Chijiiwa was his son-in-law that was forced to the situation expecting to raise some money to treat his sick wife and baby son. Further, Tsugumo had arrives in the house expecting to die not committing suicide, but revenging Chijiiwa, his daughter and his grandson.""Harakiri"" is a heartbreaking and tragic story of poverty and revenge in a period when Japan was ruled by the Tokugawa clan and thousand of samurais lost their work with the fall of the clans. This film is a little masterpiece based on the wealthy history and culture of Japan and the screenplay uses flashbacks and gives an explanation of this period of story for those that do not have a minimum knowledge of the history of Japan. The Internet is a useful tool to understand the big picture of this historical moment.The acting is top-notch and the cinematography in black and white is magnificent. My vote is ten.Title (Brazil): Not Available","
            10/10
            "
